이름,가격,흡입력(Pa),무게,통과높이,사용시간,소음,분당회전수
삼성전자 비스포크 스팀 VR7MD96516 ,"694,740","6,000",4.8kg,10cm,3시간(최대),87dB,
로보락 S9 MaxV Ultra ,"1,681,490","22,000",4.6kg,8cm,3시간40분(최대),52dB,4000회
삼성전자 비스포크 AI 스팀 VR7MD97716 ,"1,060,570","6,000",4.8kg,10cm,3시간(최대),65dB,
LG전자 오브제컬렉션 코드제로 로보킹 AI 올인원 B95AW ,"1,153,270","10,000",4.13kg,11cm,1시간50분(최대),72dB,
드리미 L10s Heat,"740,930","7,000",,10cm,3시간40분(최대),62.3dB,
LG전자 코드제로 R5 R585WKA1 ,"500,370","2,700",3.1kg,10cm,2시간20분(최대),,
로보락 S8 Plus ,"884,510","6,000",4.7kg,10cm,3시간(최대),67dB,3000회
에코백스 디봇 T30S 프로 DSX39 ,"759,790","11,000",4.1kg,11cm,,65dB,
샤오미 미지아 M40S ,"526,700","23,000Pa",3.75kg,9cm,,,
드리미 X50s Pro Ultra ,"1,590,000","25,000Pa",4.53kg,9cm,,,
에브리봇 쓰리스핀 EVO 화이트 TS401W ,"407,990",,,,,,
LG전자 오브제컬렉션 코드제로 로보킹 AI 올인원 B93BHB ,"1,305,210","8,000",4.13kg,11cm,1시간50분(최대),,
드리미 X50 Ultra ,"1,390,000","20,000",4.5kg,9cm,,60dB,
로보락 S8 MaxV Ultra ,"1,389,000","10,000",4.7kg,11cm,,63dB,4000회
에코백스 디봇 T80 옴니 ,"990,000","18,000Pa",4.95kg,10cm,,65dB,
로보락 S9 MaxV Slim ,"1,440,000","20,000",4.1kg,8cm,3시간(최대),55dB,
로보락 Saros Z70 ,"2,240,000","22,000Pa",4.9kg,8cm,3시간(최대),55dB,
드리미 X50 Master,"1,490,000","20,000",4.5kg,9cm,,60dB,
로보락 S7 Plus ,"1,184,610","2,500",4.7kg,10cm,3시간(최대),64dB,3000회
로보락 S8 Pro Plus,"599,000","10,000Pa",4.5kg,10cm,2시간30분(최대),,3000회
에코백스 디봇 T30S,"689,000","11,000",,11cm,3시간(최대),78dB,
드리미 L40s Pro Ultra,"1,090,000","19,000Pa",4.23kg,11cm,,,
로보락 Q Revo Edge C,"1,160,290","18,500",,10cm,3시간(최대),,
로보락 S6 MaxV ,"2,500,000","2,500",3.5kg,10cm,3시간(최대),67dB,
드리미 L10s Ultra GEN2 ,"699,000","10,000",4kg,10cm,4시간(최대),,
에코백스 디봇 T30 프로 옴니 DDX14 ,"644,090","11,000",4.1kg,11cm,4시간50분(최대),80dB,
샤오미 미지아 M30S D103CN ,"394,720","7,300",4.1kg,10cm,,,
삼성전자 비스포크 제트 봇 VR30T85514 ,"449,860",,3.4kg,10cm,1시간30분(최대),,
LG전자 오브제컬렉션 코드제로 R5 RO585HGH,"653,374","2,700",3.1kg,10cm,2시간20분(최대),,
샤오미 미홀 M9 Lite,"258,530","5,000",3.2kg,11cm,2시간40분(최대),,
에브리봇 Q3,"295,800","3,000",3kg,10cm,2시간30분(최대),,
에브리봇 엣지 윈도우 WS300,"181,500",,,7.4cm,,,
에브리봇 Q7,"569,000","6,000",3.9kg,,2시간40분(최대),,
에브리봇 엣지2,"275,000",,1.45kg,9cm,2시간(최대),42dB,
LG전자 오브제컬렉션 코드제로 M9 MO972 ,"452,600",,2.3kg,9cm,1시간40분(최대),44dB,
LG전자 코드제로 R5 R580WK1,"699,990","2,700",3.1kg,10cm,2시간20분(최대),,
드리미 L10s Plus ,"495,630","7,000",3.7kg,,2시간35분(최대),,
샤오미 X10+ ,"569,000","4,000",3.8kg,10cm,2시간(최대),59dB,
유원트 아쿠아 U300,"399,000","13,000",4kg,10cm,,,
드리미 X50s Pro Master,"1,990,000","25,000Pa",4.5kg,9cm,,60dB,
에코백스 디봇 X8 프로 옴니 ,"1,184,790","18,000",5.3kg,10cm,4시간50분(최대),,
로보락 Q Revo C,"1,225,500","12,000Pa",,10cm,3시간(최대),64dB,
샤오미 미홀 C77S AIR,"119,000",,,6.3cm,,,
한경희생활과학 HWC-R110 ,"169,000","3,800",,6.5cm,,,
로보락 Q Revo S,"870,000","7,000",,10cm,3시간(최대),63dB,
에브리봇 쓰리스핀 플러스 TS350 ,"377,990",,2.05kg,10cm,2시간(최대),43dB,
로보락 Q8 Max Plus,"446,000","5,500",3.6kg,10cm,4시간(최대),67dB,
,,,,,,,
JONR P20 Pro ,"399,000","8,000",,10cm,,,
로보락 Q Revo Pro ,"984,270","7,000",,10cm,3시간(최대),,
에코백스 윈봇 미니 WG841 ,"329,000","3,200",1.3kg,3cm,,,
삼성전자 비스포크 스팀 VR7MD965GRPW97 ,"761,260","6,000",4.8kg,10cm,3시간(최대),87dB,
에코백스 디봇 N30 프로 옴니 ,"499,000","10,000",,9cm,,,
에코백스 디봇 Y1 프로,"198,990","6,500",,10.1cm,3시간(최대),63dB,
기펠 ZET-AI BOT GFR-5000W ,"1,000,000","5,000",,,,,
드리미 X40 Ultra,"2,397,430","12,000",,10cm,3시간40분(최대),72dB,
샤오미 미지아 옴니2 C102CN ,"150,660","6,000",3.67kg,10cm,,63dB,
해피콜 윈도우 매직 HDRV-HWR1WT,"140,060","2,500Pa",1.3kg,7cm,,65dB,
나르왈 Freo Z10 Ultra ,"1,200,000","18,000",4.5kg,11cm,2시간30분(최대),53dB,
하텐 HT-SUR-8824,"115,000","1,800",,7cm,1시간(최대),45dB,
양방향 물분사 W15S ,"50,060","5,600",,6.2cm,,60dB,
에브리봇 X1,"298,000",,1kg,,1시간(최대),45dB,
62mm 초슬림 HCR-19 ,"62,950","2,800",1.15kg,6.2cm,,60dB,
삼성전자 비스포크 제트 봇 VR30T80313 ,"539,870",,3.4kg,10cm,1시간30분(최대),,
로보락 Q8 Max Pro Plus,"549,000","10,000Pa",6.7kg,10cm,,65dB,
LG전자 오브제컬렉션 코드제로 R9 R9300WB,"1,039,040","11,000",,15cm,1시간30분(최대),,
로보락 Q revo L,"879,000","10,000Pa",3.57kg,10cm,3시간(최대),64dB,
드리미 D10 Plus GEN2,"368,650","6,000",3.23kg,,3시간30분(최대),68dB,
아이닉 iX30 AI Ultra,"699,000","7,000Pa",4kg,10cm,2시간20분(최대),,
삼성전자 비스포크 제트 봇 VR30T85513 ,"630,000",,3.4kg,10cm,1시간30분(최대),,
LG전자 코드제로 R5 R585HKA,"629,140","2,700",3.1kg,10cm,2시간20분(최대),,
에코백스 디봇 X2 프로 옴니 DEX86 (화이트) ,"599,000","8,500",5kg,10cm,3시간30분(최대),82dB,
드리미 D9 Max GEN2 ,"267,210","6,000",3.21kg,10cm,4시간45분(최대),,
에코백스 디봇 T20 옴니 ,"571,780","6,000",,11cm,4시간30분(최대),67dB,
샤오미 X20 Max ,"659,000","8,000",3.9kg,10cm,2시간(최대),,
드리미 S20 Ultra ,"689,000","8,300",4kg,11cm,4시간(최대),,"4,050회"
샤오미 미홀 C66S ,"70,030","3,400",,9.5cm,,,
로보락 Q Revo Curv,"1,487,000","18,500",,11cm,,,
샤오미 미지아 M40 ,"491,470","12,000",4.2kg,10cm,2시간10분(최대),,
샤오미 SoberGo 스마트 ,"78,990","5,600",1.05kg,6.2cm,20분(최대),60dB,
